"모리타니",49,45,44,40,90,85,145,141,204,201,52,49,39,35
"모리셔스",761,757,752,748,867,863,900,896,699,693,571,559,743,731
"모로코",3857,3655,4569,4352,3831,3601,4016,3794,4193,3993,4646,4435,5883,5689
"모잠비크",214,187,203,178,221,195,370,344,536,517,629,608,671,654
"나미비아",134,134,203,203,221,221,194,194,251,251,260,260,305,305
"나이지리아",1373,1372,1387,1386,1444,1443,4077,4076,7583,7582,7102,7101,5451,5450
"르완다",47,47,51,51,99,99,107,107,153,153,169,169,174,174
"상투메프린시페",-,-,-,-,5,5,5,5,12,12,10,10,11,11
"세이셸",36,36,30,30,27,27,22,22,26,26,22,22,30,30
"시에라리온",29,29,41,41,35,35,27,27,38,38,44,44,39,39
"남아프리카공화국",2678,1020,3130,1685,4301,2820,2202,942,5848,4799,5391,4357,7373,6353
"수단",37,37,78,78,163,163,107,107,82,82,91,91,189,189
"에스와티니",264,264,297,297,298,298,254,254,295,295,359,359,376,376
"탄자니아",203,203,332,332,15737,270,19286,440,19906,622,21714,599,25777,775
"튀니지",858,854,1466,1462,1610,1605,1902,1898,1982,1978,1854,1850,2265,2262
"우간다",146,146,321,321,459,459,528,528,633,633,725,725,763,763
"잠비아",192,192,268,268,223,223,223,223,239,239,69,69,45,45
"짐바브웨",511,432,495,405,735,596,716,599,216,160,213,131,373,268
"오세아니아",,,,,,,,,,,,,,
"오스트레일리아",14188,11102,14308,11285,14951,11896,17402,14485,17586,16845,15377,14640,21956,21212
"피지",270,269,273,273,349,349,428,427,361,360,386,386,429,429
"미크로네시아",-,-,-,-,69,69,90,90,86,86,102,102,93,93
"뉴질랜드",3337,3337,3709,3709,4410,4410,5953,5953,4451,4451,4204,4204,4455,4455
"파푸아뉴기니",153,141,98,96,263,261,605,584,379,363,206,193,215,205
"사모아",51,51,51,51,55,55,61,61,64,64,61,61,68,68
"솔로몬제도",20,20,17,17,16,16,33,33,36,36,49,49,51,51
"통가",37,37,36,36,29,29,31,31,27,27,29,29,24,24
"바누아투",46,46,44,44,48,48,44,44,37,37,45,45,41,41
