"국가별",1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999
"국가별",초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리,초단기 국채율,예금금리,대출금리,정부채,시장금리
"캐나다",4.84,3.21,5.94,7.85,4.62,5.54,3.98,6.88,8.63,5.05,6.89,5.28,8.65,8.28,6.92,4.21,3.00,6.06,7.50,4.32,3.26,1.90,4.96,6.42,3.26,4.73,3.08,6.60,5.47,4.87,4.72,2.88,6.44,5.69,4.74
"멕시코",14.93,16.69,18.23,-,18.73,14.10,15.03,19.30,-,17.74,48.44,39.82,59.43,-,53.72,31.39,26.40,36.39,-,33.61,19.80,16.36,22.14,-,21.91,24.76,15.45,26.36,-,26.89,21.41,11.60,23.74,-,24.10
"미국",3.02,-,6.00,5.87,3.02,4.27,-,7.14,7.08,4.20,5.51,-,8.83,6.58,5.84,5.02,-,8.27,6.44,5.30,5.07,-,8.44,6.35,5.46,4.82,-,8.35,5.26,5.35,4.66,-,7.99,5.64,4.97
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"안길라",-,2.25,8.29,-,-,-,3.47,12.84,-,-,-,3.64,12.60,-,-,-,3.74,11.95,-,-,-,3.77,11.37,-,-,-,3.79,11.16,-,-,-,3.78,11.31,-,-
"앤티가바부다",7.00,5.01,12.68,-,-,7.00,4.19,13.15,-,-,7.00,4.02,12.70,-,-,7.00,4.33,12.26,-,-,7.00,4.36,11.98,-,-,7.00,4.34,12.20,-,-,7.00,4.45,12.07,-,-
"아루바",-,4.98,10.60,-,2.00,-,3.99,10.60,-,3.06,-,4.37,10.60,-,3.58,-,4.27,10.38,-,2.96,-,4.36,10.25,-,2.98,-,4.90,11.04,-,2.80,-,6.17,13.14,-,2.62
"바하마",3.96,5.19,7.46,-,-,1.88,4.30,6.88,-,-,3.01,4.20,6.75,-,-,4.45,5.14,6.75,-,-,4.35,5.23,6.75,-,-,3.84,5.36,6.75,-,-,1.97,4.57,6.38,-,-
"바베이도스",5.44,4.39,8.92,-,-,7.26,4.32,9.08,-,-,8.01,5.11,10.00,-,-,6.85,5.20,10.00,-,-,3.61,4.58,9.83,-,-,5.61,4.20,9.75,-,-,5.83,4.40,9.40,-,-
"벨리즈",4.59,8.13,14.37,-,-,4.27,8.55,14.78,-,-,4.10,9.37,15.69,-,-,3.78,9.08,16.30,-,-,3.51,9.19,16.29,-,-,3.83,8.76,16.50,-,-,5.91,8.12,16.27,-,-
